Image,Word,Writer
b03-087-01-06.png,there,b03-087-01
a01-117u-10-03.png,risen,a01-117u-10
e04-124-01-00.png,taking,e04-124-01
a04-039-00-06.png,to,a04-039-00
g06-031h-06-10.png,mass,g06-031h-06
r03-007-05-05.png,make,r03-007-05
a01-020u-03-02.png,plans,a01-020u-03
c04-013-05-03.png,when,c04-013-05
g06-018k-05-08.png,has,g06-018k-05
g05-098-03-03.png,felt,g05-098-03
e01-113-02-05.png,thread,e01-113-02
g06-037d-03-02.png,was,g06-037d-03
f02-017-01-01.png,year,f02-017-01
b01-000-02-05.png,we,b01-000-02
c03-007a-04-03.png,the,c03-007a-04
g06-037d-03-05.png,there,g06-037d-03
b05-050-04-05.png,of,b05-050-04
g06-026l-01-04.png,the,g06-026l-01
a01-038-11-05.png,the,a01-038-11
e04-058-03-01.png,as,e04-058-03
b06-042-08-02.png,established,b06-042-08
e02-117-06-01.png,cupboard,e02-117-06
a01-020x-07-06.png,proposed,a01-020x-07
a06-141-02-02.png,barbarously,a06-141-02
a02-106-07-03.png,country,a02-106-07
g06-037b-09-00.png,to,g06-037b-09
e07-112-03-00.png,are,e07-112-03
c03-096b-03-03.png,in,c03-096b-03
a01-087-06-06.png,the,a01-087-06
b06-093-01-05.png,of,b06-093-01
g06-031e-05-05.png,which,g06-031e-05
g06-026d-01-02.png,who,g06-026d-01
a01-107-01-11.png,sick,a01-107-01
b01-122-00-03.png,to,b01-122-00
a04-035-05-04.png,by,a04-035-05
g06-031k-07-01.png,of,g06-031k-07
c03-096b-03-02.png,author,c03-096b-03
f04-011-03-03.png,this,f04-011-03
e07-098-08-06.png,sweet,e07-098-08
a01-026-08-07.png,with,a01-026-08
b06-097-03-00.png,jobs,b06-097-03
g06-047h-03-01.png,an,g06-047h-03
r06-007-06-07.png,discreet,r06-007-06
a01-107u-02-03.png,with,a01-107u-02
c03-016e-09-04.png,sailor,c03-016e-09
a01-132-06-00.png,undermining,a01-132-06
b04-181-03-05.png,rivals,b04-181-03
b05-079-01-03.png,a,b05-079-01
g06-037f-07-02.png,seventeen,g06-037f-07
b01-033-01-00.png,their,b01-033-01
b01-033-00-08.png,millions,b01-033-00
a06-100-04-03.png,labour,a06-100-04
b05-042-06-05.png,do,b05-042-06
e01-119-00-05.png,loop,e01-119-00
c03-094b-08-04.png,and,c03-094b-08
e01-092-04-07.png,very,e01-092-04
a05-044-06-02.png,of,a05-044-06
a05-069-04-04.png,voice,a05-069-04
g06-037d-04-03.png,the,g06-037d-04
a01-132u-01-04.png,adjustment,a01-132u-01
c03-003d-01-05.png,cinema,c03-003d-01
a02-093-05-06.png,is,a02-093-05
e01-022-06-00.png,exquisite,e01-022-06
c06-091-02-08.png,of,c06-091-02
r06-044-05-04.png,for,r06-044-05
e01-113-02-01.png,long,e01-113-02
a01-122-05-08.png,maintained,a01-122-05
b04-075-05-03.png,and,b04-075-05
g06-047b-03-00.png,a,g06-047b-03
f02-020-06-09.png,cent,f02-020-06
b01-044-03-09.png,nation,b01-044-03
b04-040-05-06.png,marry,b04-040-05
c03-016d-06-05.png,is,c03-016d-06
g06-037e-00-09.png,a,g06-037e-00
a01-014x-06-00.png,to,a01-014x-06
a01-117u-06-06.png,demanded,a01-117u-06
b01-053-02-01.png,in,b01-053-02
e04-004-00-05.png,side,e04-004-00
a05-094-05-04.png,jackets,a05-094-05
g06-011h-08-00.png,the,g06-011h-08
g06-018j-06-07.png,but,g06-018j-06
g06-042f-00-05.png,wondered,g06-042f-00
a06-057-03-06.png,political,a06-057-03
a03-066-00-04.png,will,a03-066-00
c04-056-05-03.png,by,c04-056-05
a02-072-01-03.png,and,a02-072-01
e02-025-04-00.png,this,e02-025-04
a04-031-00-05.png,in,a04-031-00
a04-019-05-03.png,to,a04-019-05
g06-011l-03-05.png,is,g06-011l-03
c03-081b-08-03.png,a,c03-081b-08
a01-077u-06-01.png,said,a01-077u-06
b06-049-06-01.png,of,b06-049-06
g06-045d-03-06.png,and,g06-045d-03
a01-007u-07-05.png,to,a01-007u-07
c04-017-01-07.png,might,c04-017-01
e01-035-05-03.png,and,e01-035-05
c03-000e-07-00.png,control,c03-000e-07
c03-007-04-01.png,public,c03-007-04
e04-095-02-08.png,that,e04-095-02
b04-162-01-01.png,what,b04-162-01
a01-007u-04-03.png,have,a01-007u-04
c03-000d-05-08.png,to,c03-000d-05
b02-045-03-07.png,be,b02-045-03
c06-080-02-05.png,one,c06-080-02
b01-094-05-04.png,in,b01-094-05
e02-117-05-07.png,top,e02-117-05
b01-038-07-08.png,our,b01-038-07
e07-066-08-00.png,this,e07-066-08
e02-100-01-10.png,far,e02-100-01
c03-007d-03-06.png,school,c03-007d-03
r06-003-01-01.png,our,r06-003-01
b01-038-02-05.png,further,b01-038-02
a05-116-02-04.png,muttered,a05-116-02
a01-091-08-05.png,offended,a01-091-08
r06-111-06-02.png,and,r06-111-06
b06-090-03-02.png,to,b06-090-03
c03-000d-01-00.png,play,c03-000d-01
c03-096e-01-01.png,from,c03-096e-01
r06-121-04-02.png,friendly,r06-121-04
c03-000e-06-01.png,from,c03-000e-06
b02-097-07-02.png,out,b02-097-07
e04-079-05-01.png,not,e04-079-05
r02-038-02-08.png,the,r02-038-02
g04-088-00-02.png,together,g04-088-00
e01-035-01-05.png,as,e01-035-01
g04-026-04-04.png,parts,g04-026-04
r02-127-03-04.png,stamping,r02-127-03
a01-049x-02-02.png,it,a01-049x-02
r06-090-05-01.png,were,r06-090-05
b05-038-03-08.png,been,b05-038-03
c01-066-07-03.png,the,c01-066-07
g04-098-03-02.png,have,g04-098-03
a02-032-06-01.png,to,a02-032-06
a02-046-07-03.png,crowd,a02-046-07
a06-090-01-03.png,we,a06-090-01
c03-016a-01-01.png,realism,c03-016a-01
g06-018m-02-10.png,as,g06-018m-02
f04-020-01-11.png,thought,f04-020-01
g04-032-03-10.png,by,g04-032-03
g06-011b-06-02.png,out,g06-011b-06
b06-075-09-02.png,who,b06-075-09
c03-021e-03-05.png,to,c03-021e-03
e07-090-02-05.png,make,e07-090-02
r02-000-01-01.png,between,r02-000-01
a06-119-02-06.png,last,a06-119-02
f04-016-03-07.png,sister,f04-016-03
g06-026g-04-04.png,by,g06-026g-04
b05-062-01-01.png,and,b05-062-01
c06-091-01-05.png,boredom,c06-091-01
a05-108-01-00.png,religion,a05-108-01
c03-000c-02-05.png,been,c03-000c-02
g06-031f-05-02.png,of,g06-031f-05
b06-068-09-00.png,working,b06-068-09
g06-026i-01-05.png,the,g06-026i-01
e07-007-04-05.png,and,e07-007-04
g06-042m-01-00.png,in,g06-042m-01
r06-049-05-00.png,that,r06-049-05
g06-026f-03-10.png,temporary,g06-026f-03
r06-044-04-03.png,for,r06-044-04
b04-169-02-04.png,much,b04-169-02
f03-174-05-08.png,speaking,f03-174-05
g06-037j-06-05.png,alleviation,g06-037j-06
a03-011-07-10.png,two,a03-011-07
c06-058-06-08.png,cries,c06-058-06
c03-000b-03-06.png,also,c03-000b-03
g06-050j-04-07.png,energetic,g06-050j-04
a01-063x-00-07.png,higher,a01-063x-00
a03-017-06-04.png,virtual,a03-017-06
c03-096f-02-03.png,feels,c03-096f-02
c04-080-02-07.png,sound,c04-080-02
c03-087a-06-03.png,had,c03-087a-06
b03-092-01-00.png,however,b03-092-01
a04-019-03-10.png,the,a04-019-03
g06-037h-00-10.png,false,g06-037h-00
c03-087f-05-07.png,say,c03-087f-05
a03-014-06-01.png,reported,a03-014-06
c03-084d-07-02.png,the,c03-084d-07
r02-127-03-00.png,climb,r02-127-03
b02-035-03-06.png,to,b02-035-03
a05-089-03-01.png,started,a05-089-03
b04-208-01-02.png,that,b04-208-01
c02-026-07-05.png,slashed,c02-026-07
c02-089-00-02.png,large,c02-089-00
c03-087e-01-01.png,of,c03-087e-01
g04-104-00-08.png,very,g04-104-00
a05-069-04-02.png,and,a05-069-04
b01-018-00-03.png,a,b01-018-00
c06-100-06-02.png,girl,c06-100-06
c03-081a-02-06.png,altogether,c03-081a-02
b03-025-05-05.png,barrier,b03-025-05
g05-098-06-03.png,and,g05-098-06
g06-018a-04-03.png,with,g06-018a-04
f01-070-03-03.png,theory,f01-070-03
f04-004-05-06.png,little,f04-004-05
g06-018d-06-03.png,the,g06-018d-06
b06-008-05-04.png,rearmament,b06-008-05
a06-147-01-05.png,right,a06-147-01
b05-058-03-10.png,part,b05-058-03
b04-134-03-01.png,crusade,b04-134-03
b06-082-05-04.png,political,b06-082-05
c03-094e-06-03.png,asked,c03-094e-06
e04-127-05-07.png,be,e04-127-05
k04-022-06-04.png,no,k04-022-06
a01-011u-06-04.png,an,a01-011u-06
b01-009-05-03.png,change,b01-009-05
g06-011b-04-07.png,which,g06-011b-04
r06-022-00-04.png,even,r06-022-00
e02-018-04-07.png,work,e02-018-04
e07-076-02-00.png,handling,e07-076-02
g06-037d-06-05.png,numerous,g06-037d-06
b03-092-03-10.png,challenger,b03-092-03
b04-081-02-11.png,health,b04-081-02
c02-030-02-08.png,epilogue,c02-030-02
c03-007c-07-04.png,an,c03-007c-07
r03-056-07-02.png,companies,r03-056-07
a02-057-00-04.png,were,a02-057-00
a04-072-06-07.png,a,a04-072-06
g06-042k-05-02.png,been,g06-042k-05
b02-045-03-15.png,pity,b02-045-03
c03-003c-02-03.png,it,c03-003c-02
g06-018l-04-01.png,journey,g06-018l-04
a01-063-09-01.png,this,a01-063-09
g06-037i-05-02.png,of,g06-037i-05
a01-020x-02-01.png,up,a01-020x-02
a06-141-01-01.png,at,a06-141-01
g06-026g-02-04.png,word,g06-026g-02
g06-011f-05-10.png,the,g06-011f-05
c06-052-00-03.png,the,c06-052-00
b02-013-07-02.png,face,b02-013-07
a04-031-05-08.png,the,a04-031-05
a01-063u-06-01.png,the,a01-063u-06
g06-011g-04-00.png,tired,g06-011g-04
b01-023-02-05.png,world,b01-023-02
b06-079-01-06.png,the,b06-079-01
c04-050-01-03.png,act,c04-050-01
g06-045g-00-06.png,first,g06-045g-00
e07-007-00-01.png,biological,e07-007-00
c01-066-03-03.png,close,c01-066-03
e02-091-00-07.png,follow,e02-091-00
g06-042j-03-06.png,the,g06-042j-03
b02-097-02-04.png,will,b02-097-02
r06-106-03-07.png,arrived,r06-106-03
b01-122-08-00.png,left,b01-122-08
c06-095-04-02.png,of,c06-095-04
a01-063u-06-02.png,early,a01-063u-06
b04-181-01-01.png,free,b04-181-01
c04-056-08-03.png,dexterity,c04-056-08
c02-026-07-01.png,wildly,c02-026-07
a01-091u-03-06.png,the,a01-091u-03
f01-147-04-04.png,his,f01-147-04
f03-191-06-07.png,my,f03-191-06
e01-113-02-03.png,over,e01-113-02
e04-022-00-01.png,on,e04-022-00
r03-056-01-00.png,dazzled,r03-056-01
a03-071-03-00.png,it,a03-071-03
a06-014-05-01.png,industry,a06-014-05
f02-017-04-06.png,half,f02-017-04
r02-060-03-04.png,roughly,r02-060-03
c03-007a-04-04.png,rubbish,c03-007a-04
r06-115-03-03.png,the,r06-115-03
a01-026u-04-05.png,been,a01-026u-04
b04-187-01-06.png,and,b04-187-01
a03-014-06-03.png,in,a03-014-06
b05-098-05-00.png,ness,b05-098-05
r06-143-04-00.png,that,r06-143-04
c03-021c-06-07.png,forlorn,c03-021c-06
g06-011h-08-05.png,change,g06-011h-08
g06-018c-01-04.png,returned,g06-018c-01
g06-031d-06-06.png,mass,g06-031d-06
b06-079-05-05.png,that,b06-079-05
b05-098-04-02.png,in,b05-098-04
c03-016d-01-07.png,young,c03-016d-01
f02-044-09-04.png,organisers,f02-044-09
g06-026k-04-02.png,the,g06-026k-04
a02-053-06-07.png,put,a02-053-06
r02-000-01-00.png,drawn,r02-000-01
g04-081-02-11.png,domestic,g04-081-02
e01-032-03-00.png,a,e01-032-03
g06-050f-04-07.png,easily,g06-050f-04
e04-004-01-02.png,shown,e04-004-01
c01-009-08-03.png,work,c01-009-08
r03-090-03-01.png,would,r03-090-03
r06-137-06-06.png,bear,r06-137-06
g06-047a-00-02.png,man,g06-047a-00
r06-003-01-05.png,throwing,r06-003-01
a06-095-02-05.png,the,a06-095-02
g06-026j-01-07.png,the,g06-026j-01
r03-030-00-03.png,that,r03-030-00
f04-020-01-02.png,at,f04-020-01
f01-135-00-05.png,get,f01-135-00
b01-057-10-04.png,national,b01-057-10
a04-089-04-03.png,a,a04-089-04
a02-124-00-03.png,far,a02-124-00
b01-127-07-06.png,the,b01-127-07
g04-011-02-00.png,to,g04-011-02
c03-096f-05-05.png,he,c03-096f-05
g06-026g-02-12.png,writing,g06-026g-02
g06-031c-04-01.png,be,g06-031c-04
g06-042a-00-06.png,at,g06-042a-00
a01-102-01-00.png,healing,a01-102-01
a02-067-00-06.png,they,a02-067-00
c03-094d-05-03.png,the,c03-094d-05
g06-011g-02-15.png,is,g06-011g-02
r06-022-01-04.png,which,r06-022-01
b02-097-07-04.png,the,b02-097-07
g06-037m-00-05.png,that,g06-037m-00
g04-081-02-09.png,in,g04-081-02
g06-037h-02-05.png,but,g06-037h-02
g06-011j-07-04.png,other,g06-011j-07
g06-037h-00-11.png,prophet,g06-037h-00
a01-014x-08-07.png,with,a01-014x-08
a04-015-04-07.png,pursuing,a04-015-04
r03-030-06-01.png,pounds,r03-030-06
c06-138-08-03.png,emotionalism,c06-138-08
g06-026d-03-05.png,letter,g06-026d-03
g06-045m-05-01.png,and,g06-045m-05
f03-191-00-05.png,have,f03-191-00
a06-000-04-00.png,dramatically,a06-000-04
g06-011i-05-05.png,a,g06-011i-05
g06-050d-07-04.png,to,g06-050d-07
r02-054-04-04.png,key,r02-054-04
a02-024-00-06.png,demonstrations,a02-024-00
c04-017-02-04.png,before,c04-017-02
c03-081a-00-03.png,dramatist,c03-081a-00
a01-091u-05-00.png,on,a01-091u-05
g06-047h-04-06.png,of,g06-047h-04
f01-147-01-01.png,nevertheless,f01-147-01
b04-040-02-07.png,driving,b04-040-02
b06-056-05-05.png,third,b06-056-05
a02-120-04-00.png,being,a02-120-04
a04-066-00-04.png,agreement,a04-066-00
c01-014-03-00.png,egocentric,c01-014-03
c02-059-03-00.png,bears,c02-059-03
c06-020-03-06.png,entertain,c06-020-03
r06-070-02-00.png,have,r06-070-02
e04-058-03-02.png,possible,e04-058-03
b01-079-02-03.png,to,b01-079-02
a01-053u-07-01.png,his,a01-053u-07
c04-105-05-06.png,big,c04-105-05
g06-037c-00-05.png,that,g06-037c-00
e04-068-02-10.png,the,e04-068-02
f01-147-06-04.png,nor,f01-147-06
g06-037m-08-06.png,since,g06-037m-08
g06-047f-02-02.png,human,g06-047f-02
b01-004-02-01.png,until,b01-004-02
g06-050l-05-00.png,charming,g06-050l-05
a04-043-07-05.png,long,a04-043-07
b06-082-01-06.png,defence,b06-082-01
a02-093-05-05.png,statement,a02-093-05
a01-102-07-04.png,it,a01-102-07
c03-094f-09-05.png,colour,c03-094f-09
g06-031j-01-00.png,infatuation,g06-031j-01
a05-058-00-03.png,not,a05-058-00
g06-045j-02-00.png,written,g06-045j-02
g06-037g-03-01.png,he,g06-037g-03
c04-050-01-02.png,earlier,c04-050-01
a05-089-01-06.png,predecessor,a05-089-01
r06-049-07-02.png,but,r06-049-07
c06-138-03-03.png,itself,c06-138-03
c04-023-01-05.png,in,c04-023-01
r06-007-01-01.png,good,r06-007-01
c03-016a-02-06.png,room,c03-016a-02
g06-047b-03-06.png,an,g06-047b-03
g06-050a-05-00.png,gentle,g06-050a-05
f03-182-00-11.png,them,f03-182-00
g06-011m-00-09.png,in,g06-011m-00
c06-039-01-05.png,as,c06-039-01
e07-105-06-01.png,to,e07-105-06
g06-011e-04-14.png,gay,g06-011e-04
b06-036-00-03.png,is,b06-036-00
e02-117-02-07.png,good,e02-117-02
c06-128-07-05.png,later,c06-128-07
a01-020u-02-02.png,blown,a01-020u-02
g06-031d-06-00.png,be,g06-031d-06
b06-045-02-09.png,accepting,b06-045-02
b06-090-02-06.png,become,b06-090-02
a05-044-01-01.png,party,a05-044-01
c02-007-05-02.png,author,c02-007-05
c02-056-04-09.png,to,c02-056-04
b04-154-02-05.png,his,b04-154-02
a01-014x-01-04.png,the,a01-014x-01
c03-016c-00-01.png,there,c03-016c-00
a01-077-06-02.png,missile,a01-077-06
a06-008-01-01.png,the,a06-008-01
a04-047-05-06.png,he,a04-047-05
c03-003a-00-02.png,not,c03-003a-00
a05-104-02-03.png,nations,a05-104-02
a06-014-03-04.png,working,a06-014-03
g06-026d-02-05.png,has,g06-026d-02
e04-062-07-02.png,which,e04-062-07
b01-033-01-07.png,welcome,b01-033-01
e04-095-03-01.png,outside,e04-095-03
r06-000-00-09.png,small,r06-000-00
g06-018b-07-07.png,rain,g06-018b-07
g06-042i-03-05.png,the,g06-042i-03
c06-039-07-03.png,a,c06-039-07
g06-018j-03-00.png,as,g06-018j-03
a04-000-05-00.png,to,a04-000-05
g06-042i-03-08.png,curative,g06-042i-03
b06-036-00-05.png,used,b06-036-00
f02-017-03-05.png,six,f02-017-03
b01-122-08-04.png,and,b01-122-08
b04-020-08-02.png,recipes,b04-020-08
e04-022-00-04.png,angle,e04-022-00
a01-102-01-01.png,the,a01-102-01
f02-036-04-04.png,particularly,f02-036-04
r06-057-04-04.png,pricked,r06-057-04
c04-105-00-04.png,vocal,c04-105-00
f02-017-03-00.png,experience,f02-017-03
b05-071-04-05.png,of,b05-071-04
e07-076-00-05.png,clay,e07-076-00
g06-031k-01-04.png,am,g06-031k-01
r06-070-02-02.png,swim,r06-070-02
c04-028-02-00.png,herrings,c04-028-02
e07-101-01-10.png,is,e07-101-01
g06-050j-00-03.png,was,g06-050j-00
r06-044-04-07.png,family,r06-044-04
b06-042-03-01.png,like,b06-042-03
f03-182-06-06.png,those,f03-182-06
b04-034-02-06.png,sisters,b04-034-02
c03-087d-04-04.png,him,c03-087d-04
g06-037d-00-01.png,grant,g06-037d-00
g06-042a-05-05.png,brought,g06-042a-05
a04-092-04-05.png,between,a04-092-04
b05-088-01-09.png,all,b05-088-01
c03-021c-00-05.png,is,c03-021c-00
g06-042e-01-08.png,the,g06-042e-01
a02-124-01-02.png,police,a02-124-01
f04-011-01-06.png,taken,f04-011-01
a01-007u-04-05.png,adequate,a01-007u-04
a01-063-02-05.png,probably,a01-063-02
b06-059-04-03.png,to,b06-059-04
b01-027-03-06.png,country,b01-027-03
e02-094-05-01.png,a,e02-094-05
a04-023-04-06.png,on,a04-023-04
g04-095-04-08.png,made,g04-095-04
a01-043u-02-00.png,defended,a01-043u-02
b06-056-02-01.png,frantically,b06-056-02
a02-093-07-02.png,provided,a02-093-07
e07-098-04-04.png,plants,e07-098-04
b03-114-01-08.png,ago,b03-114-01
b04-066-03-00.png,said,b04-066-03
a06-128-03-04.png,due,a06-128-03
c03-096e-02-07.png,to,c03-096e-02
e01-102-08-04.png,number,e01-102-08
f02-003-03-07.png,into,f02-003-03
r02-038-03-01.png,shiny,r02-038-03
r02-070-02-12.png,sheet,r02-070-02
r03-056-07-01.png,mortgage,r03-056-07
r02-006-00-03.png,the,r02-006-00
c02-056-01-04.png,in,c02-056-01
b01-127-05-00.png,minority,b01-127-05
b04-066-04-08.png,the,b04-066-04
a01-113-03-12.png,to,a01-113-03
g06-037i-02-03.png,took,g06-037i-02
g06-018b-07-05.png,been,g06-018b-07
g06-050g-05-04.png,irritated,g06-050g-05
c03-084c-06-00.png,the,c03-084c-06
a04-072-04-02.png,declaring,a04-072-04
b04-047-02-06.png,a,b04-047-02
g06-042g-02-06.png,believed,g06-042g-02
c06-047-03-04.png,put,c06-047-03
c03-000f-03-04.png,by,c03-000f-03
a02-027-00-05.png,by,a02-027-00
a01-117-04-08.png,the,a01-117-04
a05-104-07-01.png,up,a05-104-07
c06-039-00-02.png,incidents,c06-039-00
c03-081e-03-04.png,her,c03-081e-03
r06-111-00-04.png,white,r06-111-00
a03-027-00-01.png,correspondent,a03-027-00
a01-063u-06-03.png,payment,a01-063u-06
b05-088-06-05.png,and,b05-088-06
b06-075-03-01.png,never,b06-075-03
e02-117-06-02.png,shown,e02-117-06
r06-035-06-04.png,reading,r06-035-06
r06-121-07-01.png,of,r06-121-07
b05-045-08-05.png,eleven,b05-045-08
a02-024-05-02.png,this,a02-024-05
p06-242-02-09.png,man,p06-242-02
g06-047b-05-03.png,of,g06-047b-05
g06-026e-03-02.png,letter,g06-026e-03
b06-036-02-08.png,means,b06-036-02
e07-086-07-03.png,and,e07-086-07
e01-081-05-04.png,attached,e01-081-05
a05-004-04-02.png,at,a05-004-04
c03-003a-03-01.png,the,c03-003a-03
b01-073-08-07.png,be,b01-073-08
a05-053-00-07.png,great,a05-053-00
a06-090-08-05.png,chair,a06-090-08
a04-069-02-00.png,seriously,a04-069-02
f01-135-03-01.png,this,f01-135-03
f04-028-01-06.png,any,f04-028-01
e02-025-04-01.png,case,e02-025-04
g06-037c-05-03.png,history,g06-037c-05
a06-100-03-01.png,said,a06-100-03
g06-026l-01-02.png,is,g06-026l-01
r06-049-04-00.png,apologising,r06-049-04
g06-042b-00-05.png,wondered,g06-042b-00
a01-113u-04-07.png,too,a01-113u-04
a01-072x-03-01.png,rejection,a01-072x-03
c06-039-03-05.png,about,c06-039-03
c03-007-05-03.png,even,c03-007-05
e07-000-04-03.png,sprayed,e07-000-04
b06-019-08-03.png,divisions,b06-019-08
a01-113-04-04.png,that,a01-113-04
r02-006-07-01.png,and,r02-006-07
b03-098-08-05.png,general,b03-098-08
a06-095-08-07.png,it,a06-095-08
c03-087d-01-03.png,its,c03-087d-01
c04-039-05-07.png,together,c04-039-05
b06-075-08-01.png,being,b06-075-08
g06-011a-03-08.png,wrote,g06-011a-03
a03-017-02-05.png,he,a03-017-02
c02-007-06-07.png,of,c02-007-06
g06-037m-06-04.png,painful,g06-037m-06
b05-042-01-07.png,recorded,b05-042-01
g06-037d-08-02.png,first,g06-037d-08
k04-017-08-05.png,she,k04-017-08
a06-020-02-01.png,that,a06-020-02
b01-079-07-04.png,the,b01-079-07
g06-018c-02-07.png,as,g06-018c-02
g06-037h-09-02.png,symptoms,g06-037h-09
a01-117u-07-05.png,out,a01-117u-07
a05-013-06-00.png,voluntary,a05-013-06
r02-127-01-10.png,son,r02-127-01
a06-075-07-07.png,a,a06-075-07
r03-026-04-06.png,had,r03-026-04
b02-035-03-00.png,a,b02-035-03
e04-099-06-00.png,ply,e04-099-06
a05-089-05-00.png,described,a05-089-05
b06-093-05-03.png,and,b06-093-05
c04-000-03-04.png,the,c04-000-03
r06-049-00-03.png,was,r06-049-00
a04-006-05-06.png,with,a04-006-05
a01-049-06-06.png,closed,a01-049-06
e07-094-05-04.png,same,e07-094-05
e04-030-01-00.png,inside,e04-030-01
g06-018m-00-07.png,he,g06-018m-00
b04-107-05-04.png,changed,b04-107-05
